"target","actual","error","iq","elapsed"
"55950","12000","43950","239","20"
"50250","30000","20250","135","40"
"45600","16500","29100","190","60"
"41850","19500","22350","169","80"
"37200","21000","16200","147","100"
"33900","9000","24900","198","120"
"31350","12000","19350","181","140"
"27900","19500","8400","133","160"
"24600","18000","6600","129","180"
"22350","7500","14850","174","200"
"20850","9000","11850","167","220"
"19500","6000","13500","182","240"
"17250","15000","2250","130","260"
"15450","7500","7950","161","280"
"13050","10500","2550","136","300"
"11100","9000","2100","134","320"
"10500","3000","7500","165","340"
"10200","1500","8700","175","360"
"9900","1500","8400","177","380"
"9300","3000","6300","171","400"
"8700","1500","7200","178","420"
"8100","1500","6600","178","440"
"7800","1500","6300","179","460"
"7350","1500","5850","180","480"
"6150","7500","-1350","145","500"
"4650","4500","150","150","520"
"3900","3000","900","155","540"
"2850","6000","-3150","134","560"
"1800","3000","-1200","141","580"
"1050","4500","-3450","129","600"
"300","4500","-4200","124","620"
"-450","3000","-3450","126","640"
"-750","1500","-2250","131","660"
"-750","0","-750","137","680"
"-750","0","-750","137","700"
"-750","0","-750","137","720"
"-750","0","-750","136","740"
"-750","0","-750","136","760"
"-750","0","-750","136","780"
"-750","0","-750","135","800"
"-750","-1500","750","142","820"
"-900","0","-900","133","840"
"-900","0","-900","133","860"
"-900","0","-900","132","880"
"-900","0","-900","132","900"
"-900","0","-900","132","920"
"-900","0","-900","131","940"
"-900","0","-900","131","960"
"-900","0","-900","130","980"
"-900","0","-900","130","1000"
"-900","0","-900","129","1020"
"-900","0","-900","129","1040"
"-900","0","-900","128","1060"
"-900","0","-900","128","1080"
"-900","0","-900","128","1100"
"-900","0","-900","127","1120"
"-900","0","-900","127","1140"
"-900","0","-900","126","1160"
"-900","0","-900","126","1180"
"-900","0","-900","125","1200"
"-750","-1500","750","133","1220"
"-750","-1500","750","133","1240"
"-750","-1500","750","133","1260"
"-750","-1500","750","132","1280"
"-750","-1500","750","132","1300"
"-750","-1500","750","131","1320"
"-750","-1500","750","131","1340"
"-750","-1500","750","130","1360"
"-750","-1500","750","130","1380"
"-750","-1500","750","130","1400"
"-750","-1500","750","129","1420"
"-750","-1500","750","129","1440"
"-750","-1500","750","128","1460"
"-750","-1500","750","128","1480"
"-750","-1500","750","128","1500"
"-750","-1500","750","127","1520"
"-750","-1500","750","127","1540"
"-750","-1500","750","126","1560"
"-750","-1500","750","126","1580"
"-750","-1500","750","125","1600"
"-750","0","-750","118","1620"
"-750","0","-750","117","1640"
"-750","0","-750","117","1660"
"-750","0","-750","116","1680"
"-900","1500","-2400","108","1700"
"-900","1500","-2400","107","1720"
"-750","0","-750","115","1740"
"-750","0","-750","115","1760"
"-750","0","-750","115","1780"
"-750","0","-750","114","1800"
"-750","0","-750","114","1820"
"-750","0","-750","114","1840"
"-750","0","-750","113","1860"
"-750","0","-750","113","1880"
"-750","0","-750","112","1900"
"-750","0","-750","112","1920"
"-750","0","-750","112","1940"
"-750","0","-750","111","1960"
"-750","0","-750","111","1980"
"-750","0","-750","111","2000"
"-750","0","-750","110","2020"
"-750","0","-750","110","2040"
"-750","0","-750","110","2060"
"-750","0","-750","109","2080"
"-750","0","-750","109","2100"
"-750","0","-750","109","2120"
"-750","0","-750","108","2140"
"-750","0","-750","108","2160"
"-750","0","-750","107","2180"
"-750","0","-750","107","2200"
"-750","0","-750","107","2220"
"-750","0","-750","106","2240"
"-750","0","-750","106","2260"
"-750","0","-750","106","2280"
"-750","0","-750","105","2300"
"-750","0","-750","105","2320"
"-750","0","-750","105","2340"
"-750","0","-750","104","2360"
"-750","0","-750","104","2380"
"-750","0","-750","103","2400"
"-750","0","-750","103","2420"
"-750","0","-750","103","2440"
"-750","0","-750","102","2460"
"-750","0","-750","102","2480"
"-750","0","-750","102","2500"
"-750","0","-750","101","2520"
"-750","0","-750","101","2540"
"-750","0","-750","101","2560"
"-750","0","-750","100","2580"
"-750","0","-750","100","2600"
"-750","0","-750","100","2620"
"-750","0","-750","99","2640"
"-750","0","-750","99","2660"
"-750","0","-750","98","2680"
"-750","0","-750","98","2700"
"-750","0","-750","98","2720"
"-750","0","-750","97","2740"
"-750","0","-750","97","2760"
"-750","0","-750","97","2780"
"-750","0","-750","96","2800"
"-750","0","-750","96","2820"
"-750","0","-750","96","2840"
"-750","0","-750","95","2860"
"-750","0","-750","95","2880"
"-750","0","-750","94","2900"
"-750","0","-750","94","2920"
"-750","0","-750","94","2940"
"-750","0","-750","93","2960"
"-750","0","-750","93","2980"
"-750","0","-750","93","3000"
"-750","0","-750","92","3020"
