POS target=1202 measured=802 error=400 speed_cmd=0 reached=0 running=1 fault=0\r\nok: encoder stream on
SPEED target=16500mrpm actual=3000mrpm error=13500mrpm p=68mA i=113mA kp_eff=5000uA/rpm iq=181mA id=0mA raw_iq=181mA torque_iq=181mA measured_iq=166mA measured_id=11mA iq_err=15mA id_err=-11mA sat=0 fw=0 vd=-161mV vq=457mV vdff=-6mV vqff=207mV vbus_f=23862mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=875mV vpeak_q=7495mV vsat=0 vsat_n=0 dprio=0/0 elapsed=240ms running=1 fault=0 trace_drop=113
SPEED target=15000mrpm actual=4500mrpm error=10500mrpm p=53mA i=119mA kp_eff=5000uA/rpm iq=172mA id=0mA raw_iq=172mA torque_iq=172mA measured_iq=201mA measured_id=17mA iq_err=-29mA id_err=-17mA sat=0 fw=0 vd=-249mV vq=-108mV vdff=-6mV vqff=219mV vbus_f=23861mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/1cnt angle_qerr=-351mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=875mV vpeak_q=7495mV vsat=0 vsat_n=0 dprio=0/0 elapsed=260ms running=1 fault=0 trace_drop=133
SPEED target=14000mrpm actual=3000mrpm error=11000mrpm p=55mA i=125mA kp_eff=5000uA/rpm iq=180mA id=0mA raw_iq=180mA torque_iq=180mA measured_iq=201mA measured_id=9mA iq_err=-21mA id_err=-9mA sat=0 fw=0 vd=-130mV vq=-56mV vdff=-6mV vqff=221mV vbus_f=23862mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=875mV vpeak_q=7495mV vsat=0 vsat_n=0 dprio=0/0 elapsed=280ms running=1 fault=0 trace_drop=153
SPEED target=13000mrpm actual=3000mrpm error=10000mrpm p=50mA i=130mA kp_eff=5000uA/rpm iq=180mA id=0mA raw_iq=180mA torque_iq=180mA measured_iq=178mA measured_id=-6mA iq_err=2mA id_err=6mA sat=0 fw=0 vd=79mV vq=292mV vdff=-6mV vqff=204mV vbus_f=23849mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=875mV vpeak_q=7495mV vsat=0 vsat_n=0 dprio=0/0 elapsed=300ms running=1 fault=0 trace_drop=173
SPEED target=10750mrpm actual=7500mrpm error=3250mrpm p=16mA i=133mA kp_eff=5000uA/rpm iq=149mA id=0mA raw_iq=149mA torque_iq=149mA measured_iq=146mA measured_id=-3mA iq_err=3mA id_err=3mA sat=0 fw=0 vd=33mV vq=549mV vdff=-7mV vqff=252mV vbus_f=23839mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/1cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=875mV vpeak_q=7495mV vsat=0 vsat_n=0 dprio=0/0 elapsed=320ms running=1 fault=0 trace_drop=193
SPEED target=8000mrpm actual=4500mrpm error=3500mrpm p=18mA i=133mA kp_eff=5000uA/rpm iq=150mA id=0mA raw_iq=150mA torque_iq=150mA measured_iq=171mA measured_id=11mA iq_err=-21mA id_err=-11mA sat=0 fw=0 vd=-150mV vq=21mV vdff=-11mV vqff=356mV vbus_f=23848mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/1cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=875mV vpeak_q=7495mV vsat=0 vsat_n=0 dprio=0/0 elapsed=340ms running=1 fault=0 trace_drop=213
SPEED target=6000mrpm actual=6000mrpm error=0mrpm p=0mA i=134mA kp_eff=5000uA/rpm iq=134mA id=0mA raw_iq=134mA torque_iq=134mA measured_iq=132mA measured_id=-6mA iq_err=2mA id_err=6mA sat=0 fw=0 vd=85mV vq=357mV vdff=-8mV vqff=296mV vbus_f=23850mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/1cnt angle_qerr=-351mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=1115mV vpeak_q=7495mV vsat=0 vsat_n=0 dprio=0/0 elapsed=360ms running=1 fault=0 trace_drop=233
SPEED target=4000mrpm actual=6000mrpm error=-2000mrpm p=-10mA i=133mA kp_eff=5000uA/rpm iq=123mA id=0mA raw_iq=123mA torque_iq=123mA measured_iq=124mA measured_id=-9mA iq_err=-1mA id_err=9mA sat=0 fw=0 vd=126mV vq=270mV vdff=-8mV vqff=304mV vbus_f=23858mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/1cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=1115mV vpeak_q=7495mV vsat=0 vsat_n=0 dprio=0/0 elapsed=380ms running=1 fault=0 trace_drop=253
SPEED target=3000mrpm actual=3000mrpm error=0mrpm p=0mA i=133mA kp_eff=5000uA/rpm iq=133mA id=0mA raw_iq=133mA torque_iq=133mA measured_iq=149mA measured_id=-8mA iq_err=-16mA id_err=8mA sat=0 fw=0 vd=114mV vq=88mV vdff=-5mV vqff=221mV vbus_f=23853mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=1115mV vpeak_q=7495mV vsat=0 vsat_n=0 dprio=0/0 elapsed=400ms running=1 fault=0 trace_drop=273
SPEED target=2500mrpm actual=1500mrpm error=1000mrpm p=5mA i=133mA kp_eff=5000uA/rpm iq=138mA id=0mA raw_iq=138mA torque_iq=138mA measured_iq=145mA measured_id=9mA iq_err=-7mA id_err=-9mA sat=0 fw=0 vd=-122mV vq=42mV vdff=-4mV vqff=175mV vbus_f=23854mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=1115mV vpeak_q=7495mV vsat=0 vsat_n=0 dprio=0/0 elapsed=420ms running=1 fault=0 trace_drop=293
