"target","actual","error","iq","elapsed"
"100000","79500","20500","125","20"
"100000","78000","22000","146","40"
"67000","42000","25000","170","60"
"44500","30000","14500","127","80"
"34500","10500","24000","184","100"
"28500","10500","18000","166","120"
"24000","7500","16500","168","140"
"16500","9000","7500","127","160"
"14000","4500","9500","142","180"
"11500","4500","7000","134","200"
"8500","4500","4000","122","220"
"7500","1500","6000","135","240"
"6500","1500","5000","133","260"
"6000","1500","4500","133","280"
"5500","1500","4000","133","300"
"5000","1500","3500","132","320"
"4500","1500","3000","132","340"
"4000","1500","2500","131","360"
"4000","0","4000","141","380"
"3000","1500","1500","130","400"
"2500","1500","1000","128","420"
"2000","1500","500","126","440"
"1500","1500","0","125","460"
"1500","0","1500","132","480"
"1000","0","1000","130","500"
"1000","0","1000","131","520"
"500","0","500","128","540"
"500","0","500","128","560"
"500","0","500","129","580"
"0","0","0","126","600"
"0","0","0","126","620"
"0","0","0","126","640"
"0","0","0","126","660"
"0","0","0","126","680"
"0","0","0","126","700"
"0","0","0","126","720"
"0","0","0","126","740"
"0","0","0","126","760"
"0","0","0","126","780"
"0","0","0","126","800"
"0","0","0","126","820"
"0","0","0","126","840"
"0","0","0","126","860"
"0","0","0","126","880"
"0","0","0","126","900"
"0","0","0","126","920"
"0","0","0","126","940"
"0","0","0","126","960"
"0","0","0","126","980"
"0","0","0","126","1000"
"0","0","0","126","1020"
"0","0","0","126","1040"
"0","0","0","126","1060"
"0","0","0","126","1080"
"0","0","0","126","1100"
"0","0","0","126","1120"
"0","0","0","126","1140"
"0","0","0","126","1160"
"0","0","0","126","1180"
"0","0","0","126","1200"
"0","0","0","126","1220"
"0","0","0","126","1240"
"0","0","0","126","1260"
"0","0","0","126","1280"
"0","0","0","126","1300"
"0","0","0","126","1320"
"0","0","0","126","1340"
"0","0","0","126","1360"
"0","0","0","126","1380"
"0","-1500","1500","133","1400"
"0","-1500","1500","133","1420"
"-500","0","-500","122","1440"
"-500","0","-500","122","1460"
"-500","0","-500","122","1480"
"-500","0","-500","122","1500"
"-500","0","-500","121","1520"
"-500","0","-500","121","1540"
"-500","0","-500","121","1560"
"-500","0","-500","121","1580"
"-500","0","-500","120","1600"
"-500","0","-500","120","1620"
"-500","0","-500","120","1640"
"-500","0","-500","120","1660"
"-500","0","-500","120","1680"
"-500","0","-500","119","1700"
"-500","0","-500","119","1720"
"-500","0","-500","119","1740"
"-500","0","-500","119","1760"
"-500","0","-500","118","1780"
"-500","0","-500","118","1800"
"-500","0","-500","118","1820"
"-500","0","-500","118","1840"
"-500","0","-500","117","1860"
"-500","0","-500","117","1880"
"-500","0","-500","117","1900"
"-500","0","-500","117","1920"
"-500","0","-500","116","1940"
"-500","0","-500","116","1960"
"-500","0","-500","116","1980"
"-500","0","-500","116","2000"
"-500","0","-500","115","2020"
"-500","0","-500","115","2040"
"-500","0","-500","115","2060"
"-500","0","-500","115","2080"
"-500","0","-500","114","2100"
"-500","0","-500","114","2120"
"-500","0","-500","114","2140"
"0","-1500","1500","124","2160"
"0","-1500","1500","124","2180"
"0","-1500","1500","124","2200"
"0","-1500","1500","124","2220"
"0","-1500","1500","123","2240"
"0","-1500","1500","123","2260"
"0","-1500","1500","123","2280"
"0","-1500","1500","123","2300"
"-500","0","-500","113","2320"
"-500","0","-500","113","2340"
"-500","0","-500","113","2360"
"-500","1500","-2000","105","2380"
"0","-1500","1500","122","2400"
"0","-1500","1500","122","2420"
"0","-1500","1500","122","2440"
"0","-1500","1500","122","2460"
"0","-1500","1500","122","2480"
"0","-1500","1500","122","2500"
"0","-1500","1500","122","2520"
"0","-1500","1500","121","2540"
"0","-1500","1500","121","2560"
"0","-1500","1500","121","2580"
"0","-1500","1500","121","2600"
"0","-1500","1500","121","2620"
"0","-1500","1500","121","2640"
"0","-1500","1500","121","2660"
"0","-1500","1500","121","2680"
"0","-1500","1500","120","2700"
"0","-1500","1500","120","2720"
"-500","0","-500","110","2740"
"-500","1500","-2000","102","2760"
"-500","1500","-2000","102","2780"
"-500","1500","-2000","102","2800"
"-500","1500","-2000","102","2820"
"-500","1500","-2000","102","2840"
"0","-1500","1500","119","2860"
"0","-1500","1500","119","2880"
"0","-1500","1500","119","2900"
"0","-1500","1500","119","2920"
"0","-1500","1500","119","2940"
"0","-1500","1500","119","2960"
"0","-1500","1500","119","2980"
"0","-1500","1500","119","3000"
"0","-1500","1500","118","3020"
"0","-1500","1500","118","3040"
"0","-1500","1500","118","3060"
"0","-1500","1500","118","3080"
"-500","1500","-2000","100","3100"
"-500","1500","-2000","100","3120"
"-500","1500","-2000","100","3140"
"-500","1500","-2000","100","3160"
"-500","1500","-2000","100","3180"
"-500","1500","-2000","100","3200"
"-500","1500","-2000","100","3220"
"-500","1500","-2000","100","3240"
"0","0","0","110","3260"
"0","-1500","1500","117","3280"
"0","-1500","1500","117","3300"
"0","-1500","1500","117","3320"
"0","0","0","109","3340"
"0","-1500","1500","116","3360"
"-500","1500","-2000","99","3380"
"-500","1500","-2000","99","3400"
"-500","1500","-2000","99","3420"
"-500","1500","-2000","99","3440"
"0","0","0","108","3460"
"0","0","0","108","3480"
"0","0","0","108","3500"
"0","0","0","108","3520"
