POS target=2400 measured=2000 error=400 speed_cmd=0 reached=0 running=1 fault=0\r\nSPEED target=100000mrpm actual=79500mrpm error=20500mrpm p=103mA i=22mA kp_eff=5000uA/rpm iq=125mA id=0mA raw_iq=125mA torque_iq=125mA measured_iq=153mA measured_id=7mA iq_err=-28mA id_err=-7mA sat=0 fw=0 vd=-158mV vq=3010mV vdff=-50mV vqff=1667mV vbus_f=23848mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/11cnt angle_qerr=-1054mdeg qerr_pk=2812mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=887mV vpeak_q=7268mV vsat=0 vsat_n=0 dprio=0/0 elapsed=20ms running=1 fault=0 trace_drop=0
SPEED target=6500mrpm actual=1500mrpm error=5000mrpm p=25mA i=108mA kp_eff=5000uA/rpm iq=133mA id=0mA raw_iq=133mA torque_iq=133mA measured_iq=129mA measured_id=-21mA iq_err=4mA id_err=21mA sat=0 fw=0 vd=302mV vq=203mV vdff=-2mV vqff=128mV vbus_f=23867mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=887mV vpeak_q=7268mV vsat=0 vsat_n=0 dprio=0/0 elapsed=260ms running=1 fault=0 trace_drop=133
SPEED target=6000mrpm actual=1500mrpm error=4500mrpm p=23mA i=110mA kp_eff=5000uA/rpm iq=133mA id=0mA raw_iq=133mA torque_iq=133mA measured_iq=107mA measured_id=11mA iq_err=26mA id_err=-11mA sat=0 fw=0 vd=-149mV vq=461mV vdff=-2mV vqff=115mV vbus_f=23856mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=887mV vpeak_q=7268mV vsat=0 vsat_n=0 dprio=0/0 elapsed=280ms running=1 fault=0 trace_drop=153
SPEED target=5500mrpm actual=1500mrpm error=4000mrpm p=20mA i=113mA kp_eff=5000uA/rpm iq=133mA id=0mA raw_iq=133mA torque_iq=133mA measured_iq=117mA measured_id=8mA iq_err=16mA id_err=-8mA sat=0 fw=0 vd=-109mV vq=340mV vdff=-1mV vqff=98mV vbus_f=23840mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=887mV vpeak_q=7268mV vsat=0 vsat_n=0 dprio=0/0 elapsed=300ms running=1 fault=0 trace_drop=173
SPEED target=5000mrpm actual=1500mrpm error=3500mrpm p=18mA i=115mA kp_eff=5000uA/rpm iq=132mA id=0mA raw_iq=132mA torque_iq=132mA measured_iq=148mA measured_id=0mA iq_err=-16mA id_err=0mA sat=0 fw=0 vd=6mV vq=-116mV vdff=-1mV vqff=96mV vbus_f=23841mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=887mV vpeak_q=7268mV vsat=0 vsat_n=0 dprio=0/0 elapsed=320ms running=1 fault=0 trace_drop=193
SPEED target=4500mrpm actual=1500mrpm error=3000mrpm p=15mA i=117mA kp_eff=5000uA/rpm iq=132mA id=0mA raw_iq=132mA torque_iq=132mA measured_iq=124mA measured_id=-4mA iq_err=8mA id_err=4mA sat=0 fw=0 vd=59mV vq=236mV vdff=-1mV vqff=90mV vbus_f=23859mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=887mV vpeak_q=7268mV vsat=0 vsat_n=0 dprio=0/0 elapsed=340ms running=1 fault=0 trace_drop=213
SPEED target=4000mrpm actual=1500mrpm error=2500mrpm p=13mA i=119mA kp_eff=5000uA/rpm iq=131mA id=0mA raw_iq=131mA torque_iq=131mA measured_iq=117mA measured_id=-17mA iq_err=14mA id_err=17mA sat=0 fw=0 vd=245mV vq=298mV vdff=-1mV vqff=90mV vbus_f=23854mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=887mV vpeak_q=7268mV vsat=0 vsat_n=0 dprio=0/0 elapsed=360ms running=1 fault=0 trace_drop=233
SPEED target=4000mrpm actual=0mrpm error=4000mrpm p=20mA i=121mA kp_eff=5000uA/rpm iq=141mA id=0mA raw_iq=141mA torque_iq=141mA measured_iq=154mA measured_id=5mA iq_err=-13mA id_err=-5mA sat=0 fw=0 vd=-67mV vq=-56mV vdff=-1mV vqff=79mV vbus_f=23851mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=887mV vpeak_q=7268mV vsat=0 vsat_n=0 dprio=0/0 elapsed=380ms running=1 fault=0 trace_drop=253
SPEED target=3000mrpm actual=1500mrpm error=1500mrpm p=8mA i=122mA kp_eff=5000uA/rpm iq=130mA id=0mA raw_iq=130mA torque_iq=130mA measured_iq=130mA measured_id=3mA iq_err=0mA id_err=-3mA sat=0 fw=0 vd=-45mV vq=119mV vdff=-1mV vqff=85mV vbus_f=23864mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=887mV vpeak_q=7268mV vsat=0 vsat_n=0 dprio=0/0 elapsed=400ms running=1 fault=0 trace_drop=273
SPEED target=2500mrpm actual=1500mrpm error=1000mrpm p=5mA i=123mA kp_eff=5000uA/rpm iq=128mA id=0mA raw_iq=128mA torque_iq=128mA measured_iq=135mA measured_id=-23mA iq_err=-7mA id_err=23mA sat=0 fw=0 vd=321mV vq=31mV vdff=-1mV vqff=86mV vbus_f=23863mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=887mV vpeak_q=7268mV vsat=0 vsat_n=0 dprio=0/0 elapsed=420ms running=1 fault=0 trace_drop=293
SPEED target=2000mrpm actual=1500mrpm error=500mrpm p=3mA i=124mA kp_eff=5000uA/rpm iq=126mA id=0mA raw_iq=126mA torque_iq=126mA measured_iq=132mA measured_id=20mA iq_err=-6mA id_err=-20mA sat=0 fw=0 vd=-280mV vq=29mV vdff=-1mV vqff=89mV vbus_f=23852mV vlimit=20000mV fw_ratio=900/1000 fw_corr=0mV fw_fixed=0/0mA hold=0/0/0 angle_adv=40us/0cnt angle_qerr=0mdeg qerr_pk=3164mdeg qerr_n=0 angle_step=0mdeg astep_pk=4570mdeg astep_n=0 vpeak_d=887mV vpeak_q=7268mV vsat=0 vsat_n=0 dprio=0/0 elapsed=440ms running=1 fault=0 trace_drop=313
