"target","actual","error","iq","elapsed"
"79000","64500","14500","92","20"
"64500","48000","16500","115","40"
"54250","24000","30250","195","60"
"44750","30000","14750","129","80"
"37750","18000","19750","162","100"
"33500","15000","18500","167","120"
"28250","21000","7250","119","140"
"23250","16500","6750","122","160"
"19250","13500","5750","121","180"
"18000","3000","15000","173","200"
"17250","3000","14250","177","220"
"16500","3000","13500","181","240"
"15000","4500","10500","172","260"
"14000","3000","11000","180","280"
"13000","3000","10000","180","300"
"10750","7500","3250","149","320"
"8000","4500","3500","150","340"
"6000","6000","0","134","360"
"4000","6000","-2000","123","380"
"3000","3000","0","133","400"
"2500","1500","1000","138","420"
"1750","1500","250","135","440"
"750","3000","-2250","121","460"
"0","1500","-1500","124","480"
"-250","1500","-1750","122","500"
"-250","0","-250","130","520"
"-500","0","-500","128","540"
"-500","0","-500","128","560"
"-500","0","-500","127","580"
"-500","0","-500","127","600"
"-500","0","-500","127","620"
"-500","0","-500","127","640"
"-500","0","-500","126","660"
"-500","0","-500","126","680"
"-500","0","-500","126","700"
"-500","0","-500","126","720"
"-500","0","-500","125","740"
"-500","0","-500","125","760"
"-500","0","-500","125","780"
"-500","0","-500","125","800"
"-500","0","-500","124","820"
"-500","0","-500","124","840"
"-500","0","-500","124","860"
"-500","0","-500","124","880"
"-500","0","-500","123","900"
"-500","0","-500","123","920"
"-500","0","-500","123","940"
"-500","0","-500","123","960"
"-500","0","-500","122","980"
"-500","0","-500","122","1000"
"-500","0","-500","122","1020"
"-500","0","-500","122","1040"
"-500","0","-500","122","1060"
"-500","0","-500","121","1080"
"-500","0","-500","121","1100"
"-500","0","-500","121","1120"
"-500","0","-500","121","1140"
"-500","0","-500","120","1160"
"-500","0","-500","120","1180"
"-500","0","-500","120","1200"
"-500","0","-500","120","1220"
"-500","0","-500","119","1240"
"-500","0","-500","119","1260"
"-500","0","-500","119","1280"
"-500","0","-500","119","1300"
"-500","0","-500","118","1320"
"-500","0","-500","118","1340"
"-500","0","-500","118","1360"
"-500","0","-500","118","1380"
"-500","0","-500","117","1400"
"-500","0","-500","117","1420"
"-500","0","-500","117","1440"
"-500","0","-500","117","1460"
"-500","0","-500","116","1480"
"-500","0","-500","116","1500"
"-500","0","-500","116","1520"
"-500","0","-500","116","1540"
"-500","0","-500","116","1560"
"-500","0","-500","115","1580"
"-500","0","-500","115","1600"
"-500","0","-500","115","1620"
"-500","0","-500","115","1640"
"-500","0","-500","114","1660"
"-500","0","-500","114","1680"
"-500","0","-500","114","1700"
"-500","0","-500","114","1720"
"-500","0","-500","113","1740"
"-500","0","-500","113","1760"
"-500","0","-500","113","1780"
"-500","0","-500","113","1800"
"-500","0","-500","112","1820"
"-500","0","-500","112","1840"
"-500","0","-500","112","1860"
"-500","0","-500","112","1880"
"-500","0","-500","111","1900"
"-500","0","-500","111","1920"
"-500","0","-500","111","1940"
"-500","0","-500","111","1960"
"-500","0","-500","110","1980"
"-500","0","-500","110","2000"
"-500","0","-500","110","2020"
"-500","0","-500","110","2040"
"-500","0","-500","110","2060"
"-500","0","-500","109","2080"
"-500","0","-500","109","2100"
"-500","0","-500","109","2120"
"-500","0","-500","109","2140"
"-500","0","-500","108","2160"
"-500","0","-500","108","2180"
"-500","0","-500","108","2200"
"-500","0","-500","108","2220"
"-500","0","-500","107","2240"
"-500","0","-500","107","2260"
"-500","0","-500","107","2280"
"-500","0","-500","107","2300"
"-500","0","-500","106","2320"
"-500","0","-500","106","2340"
"-500","0","-500","106","2360"
"-500","0","-500","106","2380"
"-500","0","-500","105","2400"
"-500","0","-500","105","2420"
"-500","0","-500","105","2440"
"-500","0","-500","105","2460"
"-500","0","-500","104","2480"
"-500","0","-500","104","2500"
"-500","0","-500","104","2520"
"-500","0","-500","104","2540"
"-500","0","-500","104","2560"
"-500","0","-500","103","2580"
"-500","0","-500","103","2600"
"-500","0","-500","103","2620"
"-500","0","-500","103","2640"
"-500","0","-500","102","2660"
"-500","0","-500","102","2680"
"-500","0","-500","102","2700"
"-500","0","-500","102","2720"
"-500","0","-500","101","2740"
"-500","0","-500","101","2760"
"-500","0","-500","101","2780"
"-500","0","-500","101","2800"
"-500","0","-500","100","2820"
"-500","0","-500","100","2840"
"-500","0","-500","100","2860"
"-500","0","-500","100","2880"
"-500","0","-500","99","2900"
"-500","0","-500","99","2920"
"-500","0","-500","99","2940"
"-500","0","-500","99","2960"
"-500","0","-500","98","2980"
"-500","0","-500","98","3000"
"-500","0","-500","98","3020"
"-500","0","-500","98","3040"
"-500","0","-500","98","3060"
"-500","0","-500","97","3080"
"-500","0","-500","97","3100"
"-500","0","-500","97","3120"
"-500","0","-500","97","3140"
"-500","0","-500","96","3160"
"-500","0","-500","96","3180"
"-500","0","-500","96","3200"
"-500","0","-500","96","3220"
"-500","0","-500","95","3240"
"-500","0","-500","95","3260"
"-500","0","-500","95","3280"
"-500","0","-500","95","3300"
"-500","0","-500","94","3320"
"-500","0","-500","94","3340"
"-500","0","-500","94","3360"
"-500","0","-500","94","3380"
"-500","0","-500","93","3400"
"-500","0","-500","93","3420"
"-500","0","-500","93","3440"
"-500","0","-500","93","3460"
"-500","0","-500","92","3480"
"-500","0","-500","92","3500"
